# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10994
#@/user_id	d6af5fc8-5554-4ac5-acd2-c29a134afb1d
aa[ek 	阿	c=1 d=1 t=6286
aa[ek li[la 	阿里	c=1 d=1.00012 t=8086
aa[ek li[la yy[es 	阿里雲	c=7 d=1.08183 t=9178
aa[kk 	啊	c=34 d=1.14465 t=10963
ai[fu ge[rl 	挨個	c=1 d=1 t=10651
an[bn fu[fw 	安撫	c=2 d=1.92774 t=8356
an[bn pd[ff 	安排	c=4 d=1 t=10581
an[bn qr[rw 	安全	c=1 d=1 t=383
an[bn vo[lu 	安卓	c=1 d=1 t=10871
an[fn 	按	c=20 d=1.00042 t=10937
an[fn vc[oh 	按照	c=5 d=1 t=10561
an[fn xx[ab 	按下	c=1 d=1 t=8833
ba[bb 	爸	c=3 d=1.00062 t=10084
ba[fb gr[bt 	把關	c=1 d=1 t=160
ba[fd 	拔	c=1 d=1 t=7895
ba[kb 	吧	c=51 d=1.95998 t=10877
bb[bb 	賓	c=1 d=1 t=2530
bc[bs 	包	c=1 d=1 t=1110
bc[by 	寶	c=1 d=1 t=7608
bc[by ji[yn 	寶雞	c=1 d=1 t=6078
bc[fy 	報	c=14 d=1.01455 t=10358
bc[fy bn[fy 	報表	c=1 d=1 t=8915
bc[fy co[jo 	報錯	c=12 d=1.02998 t=10632
bc[fy gc[nk 	報告	c=2 d=1 t=5112
bc[fy jk[ck 	報警	c=13 d=2.00771 t=9377
bc[fy jk[ck yz[ye jm[rn 	報警郵件	c=1 d=1 t=4221
bc[fy xn[jo 	報銷	c=4 d=3.12854 t=800
bc[rm 	保	c=1 d=1 t=7236
bc[rm cy[uz 	保存	c=7 d=1.00277 t=10184
bc[rm hu[fh hc[nz 	保護好	c=1 d=1 t=2705
bc[rm lq[pt 	保留	c=7 d=2.22067 t=6445
bc[rm vg[yv 	保證	c=6 d=1 t=9594
bc[rm vh[eu 	保障	c=6 d=1.62549 t=5664
bc[rm xm[ea 	保險	c=4 d=3.05837 t=7285
bc[rm yh[yl 	保養	c=2 d=1.23457 t=10889
bc[ys 	雹	c=1 d=1 t=6262
bd[ab du[gy 	百度	c=1 d=1 t=3786
bd[ab mk[xk 	百名	c=0 d=0.1 t=2316
bd[ab mk[xk dj[rd 	百名但	c=1 d=1 t=2317
bd[po 	白	c=3 d=1 t=10381
bd[po gl[xw 	白光	c=1 d=1 t=6938
bd[po tn[wm 	白條	c=0 d=0.1 t=5027
bf[aa 	本	c=2 d=1.9802 t=10032
bf[aa ci[dr 	本次	c=2 d=1.79057 t=9700
bf[aa di[ty 	本地	c=11 d=6.52243 t=9643
bf[aa ld[an 	本來	c=6 d=1 t=10326
bf[aa uf[pp 	本身	c=3 d=1.71534 t=6189
bf[aa vi[pr 	本質	c=4 d=1.00204 t=10778
bf[aa vz[kk 	本週	c=1 d=1 t=7490
bf[aa vz[kk wu[aa 	本週五	c=1 d=1 t=10054
bh[fj 	幫	c=10 d=1.00877 t=6683
bh[fj if[pc 	幫襯	c=1 d=1 t=4014
bh[fj mh[xw 	幫忙	c=6 d=1.28106 t=8740
bh[fj vu[ql 	幫助	c=1 d=1 t=5404
bh[se dk[br 	綁定	c=3 d=1 t=10205
bi[bb 	比	c=6 d=1.00066 t=9394
bi[bb jn[ix 	比較	c=14 d=1.96578 t=9114
bi[bb jn[ix mj[xy 	比較慢	c=1 d=1 t=9052
bi[bb ru[nk 	比如	c=1 d=1 t=212
bi[bu jk[le 	畢竟	c=1 d=1 t=3028
bi[dd jl[dc 	必將	c=1 d=1 t=3021
bi[dd xu[pr 	必須	c=1 d=1 t=4444
bi[dd yc[xn 	必要	c=1 d=1 t=6004
bi[vm ji[yj 	筆記	c=5 d=1.8812 t=10549
bi[zu mm[dv 	避免	c=14 d=3.21522 t=9756
bj[dl jn[dy 	半角	c=1 d=1 t=3043
bj[dl nm[pl 	半年	c=3 d=2.9316 t=4810
bj[dl tm[ad 	半天	c=1 d=1 t=3362
bj[fb 	拌	c=1 d=1 t=7584
bj[fy qm[zq 	搬遷	c=3 d=2.92644 t=10454
bj[ld 	辦	c=1 d=1 t=7238
bj[ld ba[kb 	辦吧	c=1 d=1 t=494
bj[ld fa[ds 	辦法	c=3 d=1.01734 t=5728
bj[my zd[ui 	板載	c=2 d=1.94176 t=1828
bj[py 	版	c=1 d=1 t=4391
bj[py bf[aa 	版本	c=3 d=1.02075 t=10223
bk[bb 	病	c=1 d=1 t=7457
bk[bk 	並	c=4 d=1.00001 t=10052
bk[bk qp[la 	並且	c=1 d=1 t=8962
bk[bk ww[an 	並未	c=1 d=1 t=1705
bk[bk xk[ii 	並行	c=0 d=0.1 t=1628
bk[bk xk[ii du[gy 	並行度	c=7 d=2.97627 t=6644
bk[du xl[vo 	冰箱	c=1 d=1 t=7590
bm[sc 	編	c=2 d=1.86071 t=7962
bm[sc ig[hw 	編程	c=1 d=1 t=3762
bm[sc ji[ie 	編輯	c=3 d=1 t=10148
bm[sc ji[ie qi[kk 	編輯器	c=1 d=1 t=8689
bm[sc ma[um 	編碼	c=1 d=1 t=10760
bm[wy gg[an 	變更	c=2 d=1 t=8532
bm[wy hx[rb 	變化	c=3 d=1 t=8194
bm[wy ia[yg 	變差	c=1 d=1 t=6984
bm[wy ig[wv 	變成	c=4 d=1 t=10752
bm[wy ih[pn 	變長	c=1 d=1 t=8201
bm[wy mj[xy 	變慢	c=1 d=1 t=5392
bm[wy su[zu xl[vo 	變速箱	c=3 d=2.79777 t=10708
bm[zc 	遍	c=1 d=1 t=8445
bm[zl 	邊	c=1 d=1 t=8433
bm[zl kl[mw 	邊框	c=1 d=1 t=2301
bn[fy 	表	c=10 d=1.59156 t=9070
bn[fy ge[mk 	表格	c=4 d=1.98178 t=8921
bn[fy ui[ex 	表示	c=1 d=1 t=258
bn[fy xm[we 	表現	c=2 d=1.00106 t=9770
bn[fy xm[we ww[dd 	表現爲	c=1 d=1 t=9774
bn[mx qm[va 	標籤	c=1 d=1 t=672
bn[mx ui[yb 	標識	c=2 d=1.96079 t=5368
bn[mx vy[df 	標準	c=2 d=1.00009 t=2663
bo[dy 	波	c=4 d=1 t=10372
bo[fd 	撥	c=3 d=2.93635 t=10916
bo[ft fh[fw 	播放	c=1 d=1 t=576
bo[uc 	博	c=1 d=1 t=146
bo[uc fh[dw 	博方	c=1 d=1 t=575
bp[dr jn[oe 	蹩腳	c=1 d=1 t=8010
bp[kd 	別	c=6 d=1.22291 t=7918
bp[kd rf[pn 	別人	c=4 d=1 t=7231
bu[ad 	不	c=5 d=1.00016 t=9278
bu[ad ai[py 	不愛	c=0 d=0.1 t=3783
bu[ad ai[py tk[kj 	不愛聽	c=1 d=1 t=3784
bu[ad co[jo 	不錯	c=3 d=1.00712 t=3965
bu[ad da[un 	不大	c=1 d=1 t=1278
bu[ad dc[ad 	不到	c=1 d=1.09231 t=10843
bu[ad ds[xv 	不懂	c=1 d=1 t=5164
bu[ad dv[yc 	不對	c=2 d=1.96079 t=7841
bu[ad fh[nf 	不妨	c=1 d=1 t=4196
bu[ad gl[xw 	不光	c=1 d=1 t=7019
bu[ad go[zc 	不過	c=33 d=1.53537 t=10426
bu[ad gr[vk 	不管	c=1 d=1 t=7001
bu[ad hc[nz 	不好	c=2 d=0.100019 t=10578
bu[ad hc[nz md[vd 	不好買	c=1 d=1 t=10579
bu[ad hc[nz ys[kl 	不好用	c=1 d=1 t=8722
bu[ad hv[rs 	不會	c=9 d=1.6746 t=10602
bu[ad kd[ac 	不開	c=1 d=1 t=346
bu[ad ke[dk ng[sb 	不可能	c=1 d=1 t=3371
bu[ad lq[pt 	不留	c=1 d=1 t=8476
bu[ad mk[oo bu[ad bd[po 	不明不白	c=1 d=1 t=3306
bu[ad ng[sb 	不能	c=8 d=1.03005 t=9016
bu[ad ql[gi 	不強	c=1 d=1.00001 t=5093
bu[ad rh[yu 	不讓	c=1 d=1 t=3832
bu[ad rj[ph 	不然	c=6 d=1.11625 t=7175
bu[ad ru[nk 	不如	c=1 d=1 t=6995
bu[ad td[dd 	不太	c=2 d=1 t=10229
bu[ad ts[kk 	不同	c=1 d=1 t=9100
bu[ad ui[or 	不是	c=9 d=1.00036 t=10836
bu[ad xk[ii 	不行	c=5 d=1 t=10936
bu[ad yc[xn 	不要	c=3 d=1.02322 t=8007
bu[ad yi[aa vi[aw 	不一致	c=1 d=1 t=3136
bu[ad yi[aa yh[my 	不一樣	c=3 d=1.60957 t=9290
bu[ad yk[ga gd[yr 	不應該	c=1 d=1 t=8571
bu[ad ys[kl 	不用	c=1 d=1 t=7936
bu[ad zu[kr 	不足	c=3 d=1 t=10934
bu[le ff[bd 	部分	c=3 d=1 t=9281
bu[le jm[rn 	部件	c=1 d=1 t=1403
bu[le mf[dv 	部門	c=1 d=1 t=2001
bu[le uu[so 	部署	c=11 d=2.66011 t=5603
bu[le uu[uy 	部屬	c=2 d=1.11648 t=9230
bu[pb 	補	c=3 d=1 t=6728
bu[pb is[we 	補充	c=3 d=1.55742 t=7273
bu[uj uu[so 	布署	c=1 d=1 t=9248
bu[vp 	步	c=1 d=1 t=9975
bu[vp ih[pn 	步長	c=1 d=1 t=9359
bw[kr 	貝	c=2 d=1.00011 t=10119
bw[lb 	北	c=7 d=1.97531 t=9192
bw[lb xm[oy 	北顯	c=5 d=3.58306 t=9506
bw[lo jk[ox 	背景	c=1 d=1 t=8105
bw[py 	被	c=19 d=1.37947 t=9954
bw[py ds[el 	被動	c=1 d=1 t=3337
bw[py rf[pn 	被人	c=1 d=1 t=8423
bw[rk 	倍	c=1 d=1 t=9398
bw[rk si[tx 	倍思	c=2 d=1.86071 t=8327
bw[wt 	備	c=2 d=1.00001 t=8162
bw[wt ff[rd 	備份	c=1 d=1 t=1485
cc[cu td[sk bj[ww zi[va 	草臺班子	c=1 d=1 t=2157
cc[fm zo[rv 	操作	c=10 d=1.08817 t=10422
cd[ap 	才	c=15 d=1.01188 t=10853
cd[ap hv[rs 	纔會	c=1 d=1 t=10799
cd[ap ui[or 	纔是	c=2 d=1 t=7863
cd[cm dj[bl 	菜單	c=1 d=1 t=2874
cd[pp li[pv 	彩禮	c=1 d=1 t=3952
cd[qo 	猜	c=2 d=1.00157 t=4275
cd[qo ce[dd 	猜測	c=1 d=1 t=3286
cd[uy yr[kr 	裁員	c=1 d=1 t=82
cd[zm 	踩	c=1 d=1 t=10924
ce[dd ui[yg 	測試	c=10 d=1.86722 t=9055
ce[vn lt[tk 	策略	c=76 d=8.41855 t=10049
cg[us 	層	c=10 d=2.54927 t=9507
cg[us mm[aa 	層面	c=1 d=1 t=9369
ch[rv ku[gi 	倉庫	c=11 d=3.55697 t=9822
ci[dr 	次	c=2 d=0.100453 t=6789
ci[dr uu[mw 	次數	c=1 d=1 t=10926
ci[uy pj[vm 	磁盤	c=8 d=1.6942 t=9064
ci[vb 	此	c=2 d=1.45384 t=5248
ci[yk 	詞	c=3 d=1.0251 t=5281
ci[yk bn[fy 	詞表	c=6 d=1.22637 t=4941
ci[yk ku[gi 	詞庫	c=8 d=3.74883 t=3249
ci[yk zu[sq 	詞組	c=1 d=1 t=2244
cj[sp kc[lv 	參考	c=4 d=1.31664 t=10238
cj[sp uu[mw 	參數	c=5 d=1.80253 t=8221
co[jo 	錯	c=5 d=1.18268 t=10701
co[jo wu[yt 	錯誤	c=3 d=1.88917 t=4473
cs[rr 	從	c=26 d=1.10821 t=10751
cs[rr er[al 	從而	c=1 d=1 t=5341
cs[rr ku[gi 	從庫	c=2 d=1.96561 t=6686
